2014-10-1,71
2014-10-2,64
2014-10-3,76
2014-10-6,79
2014-10-7,63
2014-10-8,58
2014-10-9,68
2014-10-10,80
2014-10-14,55
2014-10-15,83
2014-10-16,77
2014-10-17,90
2014-10-20,75
2014-10-21,76
2014-10-22,92
2014-10-23,82
2014-10-24,100
2014-10-27,78
2014-10-28,98
2014-10-29,80
2014-10-30,73
2014-10-31,89
2014-11-4,76
2014-11-5,100
2014-11-6,79
2014-11-7,79
2014-11-10,84
2014-11-11,101
2014-11-12,94
2014-11-13,87
2014-11-14,104
2014-11-17,117
2014-11-18,114
2014-11-19,97
2014-11-20,101
2014-11-21,109
2014-11-25,105
2014-11-26,98
2014-11-27,100
2014-11-28,98
